n,er,tand,muer,mutand
1,2.05683217514474,0.000196400729382834,2.05607360912356,0.00021121439802889
2,2.05665557026171,0.000199900369616273,2.05607360912356,0.00021121439802889
3,2.05542849449376,0.00020692689704716,2.05607360912356,0.00021121439802889
4,2.05624835648311,0.00020566222230498,2.05607360912356,0.00021121439802889
5,2.05525786402399,0.000214490365519483,2.05607360912356,0.00021121439802889
6,2.05632829427137,0.000210373273196351,2.05607360912356,0.00021121439802889
7,2.05564786669361,0.000223659116833686,2.05607360912356,0.00021121439802889
8,2.05610649314005,0.000221951033732491,2.05607360912356,0.00021121439802889
9,2.05569896984885,0.000209880418696108,2.05607360912356,0.00021121439802889
10,2.05477596234523,0.000206833448249881,2.05607360912356,0.00021121439802889
11,2.05645727732057,0.000217815014795616,2.05607360912356,0.00021121439802889
12,2.05547900160944,0.000216330294589601,2.05607360912356,0.00021121439802889
13,2.05632399735499,0.000209165949187435,2.05607360912356,0.00021121439802889
14,2.0562459900676,0.000222254405467753,2.05607360912356,0.00021121439802889
15,2.0554212224175,0.000218412311610535,2.05607360912356,0.00021121439802889
16,2.0563502159053,0.000215110110919012,2.05607360912356,0.00021121439802889
17,2.05573264470518,0.000209095447663126,2.05607360912356,0.00021121439802889
18,2.05667899961001,0.000208671159775701,2.05607360912356,0.00021121439802889
19,2.0574865147884,0.000212252663241046,2.05607360912356,0.00021121439802889
20,2.05631627198586,0.000199102728748732,2.05607360912356,0.00021121439802889
