n,al,sigma,mual,musigma
1,0.019052288885693,10314901.5133866,0.0190549129156833,10053177.2135847
2,0.0190528489323209,10623175.3391363,0.0190549129156833,10053177.2135847
3,0.0190558809736719,10035700.3294294,0.0190549129156833,10053177.2135847
4,0.0190560299463879,10024986.0570803,0.0190549129156833,10053177.2135847
5,0.0190560135698357,10080614.1932983,0.0190549129156833,10053177.2135847
6,0.0190561099550305,9936829.95912711,0.0190549129156833,10053177.2135847
7,0.0190565067813596,9834763.81634886,0.0190549129156833,10053177.2135847
8,0.0190541941636078,10249769.2262843,0.0190549129156833,10053177.2135847
9,0.01905464519874,10311293.9056888,0.0190549129156833,10053177.2135847
10,0.0190552023101397,10309907.9234711,0.0190549129156833,10053177.2135847
11,0.019056118938274,10041780.5228504,0.0190549129156833,10053177.2135847
12,0.0190512244593034,9907500.72690131,0.0190549129156833,10053177.2135847
13,0.0190569849605884,9774862.04634315,0.0190549129156833,10053177.2135847
14,0.0190555715130138,10212821.8942701,0.0190549129156833,10053177.2135847
15,0.019053945692362,9891253.78099964,0.0190549129156833,10053177.2135847
16,0.0190558372031162,10101063.2578323,0.0190549129156833,10053177.2135847
17,0.019056335351061,9911669.24801578,0.0190549129156833,10053177.2135847
18,0.0190541656370656,9826047.13152981,0.0190549129156833,10053177.2135847
19,0.0190564219702303,9824032.21431587,0.0190549129156833,10053177.2135847
20,0.0190519318718651,9850571.18538482,0.0190549129156833,10053177.2135847
